Title1,Title2,Description,EAN,Brand,Name,Year,Display_Type,Swiss_Made,Water_Resistance,Dial_Color,Hand_Colors,Case_Code,Diameter,Case_Thickness,Case_Material,Case_Shape,Case_Color,Back_Case_Material,Back_Case,Material_Crystal,Crown,Movement_Part_Nr,Movement_Brand,Swiss_Movement,Mechanism,Battery,Battery_URL,Battery_Life,Hackable,Skeletonized,Strap_Width,Strap_Material,Lug_Width,Band_Width_At_Clasp,Band_Color,Clasp_Type,Clasp_Color,Color_Stitching,Length_Band_At_12_Clock,Length_Band_At_6_Clock,Band_Sizing_By_HWG,Mount_Type,Straight_Strap_Mount,Suitable_For_Wrist_Size,Original_Strap,Image_Link,URL,Price_Range
Casio Edifice Bluetooth ECB-2000D-1A Sospensione Watch,Carbon case Bluetooth analog-digital solar watch,This Casio Edifice watch has a case made of carbon with a diameter of 48 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526329838,Casio Edifice,Sospensione,2022 Fall / Winter,Analog - Digital,No,10 Bar (Swim),Grey,"White, White",ECB-2000,48 mm,10.8 mm,Carbon,Round,Black,Stainless steel,Closed with screws,Mineral,N/A,5698 ( See specifications ) Download manual (English),Casio,No,Solar Quartz,Rechargeable Battery,,7 months,No,No,25 mm,Stainless steel,12 mm,20 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,No,160 mm - 210 mm,Strap Casio Edifice 10645289,https://www.mastersintime.com/pictures/casio-edifice-bluetooth-ecb-2000d-1aef-14009562.jpg,https://www.mastersintime.com/casio-edifice-sospensione-carbon-case-bluetooth-analog-digital-solar-watch-ecb-2000d-1a.htm,$234.-
Casio Edifice Classic  EFV-610D-1AVUEF Watch,Steel Quartz Chronograph with Date,This Casio Edifice watch has a case made of stainless steel with a diameter of 44 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with manufacturer's warranty. .,4549526297434,Casio Edifice,Classic,2021 Spring / Summer,,No,10 Bar (Swim),Black,"Black, Black, Red",EFV-610,44 mm,11.2 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,5579 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R371 371 / SR920SW / SG6 / AG6 Battery,,36 months,Yes,No,21 mm,Stainless steel,21 mm,18 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,165 mm - 225 mm,Strap Casio Edifice 10621612,https://www.mastersintime.com/pictures/casio-edifice-classic-efv-610d-1avuef-12301611.jpg,https://www.mastersintime.com/casio-edifice-classic-steel-quartz-chronograph-with-date-efv-610d-1avuef.htm,$128.-
Charmex of Switzerland 6262 Tuscany Watch,Swiss oval ladies watch with crystals and MOP dial,This Charmex of Switzerland watch has a case made of stainless steel with a diameter of 28 mm and is fitted with a Satin Leather band. Inside the case lies a Ronda movement and the watch features a Sapphire crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7640141278147,Charmex of Switzerland,Tuscany,2015 Fall / Winter,Analog,Yes,3 Bar (Wash hands),Mother of pearl,"Silver, Silver",6262,28 mm,10.5 mm,Stainless steel,Oval,Silver,Stainless steel,Closed with screws,Sapphire,Pull crown,762 ( See specifications ) Download manual (English),Ronda,No,quartz,Renata R364 364 / SR621SW Battery,,120 months,Yes,No,16 mm,Satin Leather,16 mm,14 mm,Black,Deployment buckle,Silver,,,,No,Pushpins,Yes,145 mm - 195 mm,,https://www.mastersintime.com/pictures/charmex-of-switzerland-tuscany-6262-13275381.jpg,https://www.mastersintime.com/charmex-of-switzerland-tuscany-swiss-oval-ladies-watch-with-crystals-and-mop-dial-6262.htm,$176.-
Daniel Wellington Classic DW00100161 Petite Melrose Watch,Fashion watch with milanese bracelet,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068245206,Daniel Wellington,Petite Melrose,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),Black,"Rose gold, Rose gold",DW00100161,32 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,14 mm,Stainless steel,14 mm,,Rose gold,Milanese clasp,Rose gold,,,,No,Pushpins,Yes,135 mm - 195 mm,Strap Daniel Wellington DW00200139,https://www.mastersintime.com/pictures/daniel-wellington-dw00100161-petite-melrose-18416246.jpg,https://www.mastersintime.com/daniel-wellington-petite-melrose-fashion-watch-with-milanese-bracelet-dw00100161.htm,$194.-
Daniel Wellington Classic DW00100145 Classic Sheffield Watch,Silver Quartz Watch with Black Leather Strap,This Daniel Wellington watch has a case made of stainless steel with a diameter of 36 mm and is fitted with a leather band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7350068244742,Daniel Wellington,Classic Sheffield,2017 Fall / Winter,Analog,No,3 Bar (Wash hands),Black,"Silver, Silver",DW00100145,36 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,GL20 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,No,18 mm,Leather,18 mm,18 mm,Black,Buckle,Silver,Black,,,No,Pushpins,Yes,150 mm - 205 mm,Strap Daniel Wellington DW00200053,https://www.mastersintime.com/pictures/daniel-wellington-dw00100145-classic-sheffield-18416066.jpg,https://www.mastersintime.com/daniel-wellington-classic-sheffield-silver-quartz-watch-with-black-leather-strap-dw00100145.htm,$199.-
Charmex of Switzerland 6260 Tuscany Watch,,,7640141278123,Charmex of Switzerland,Tuscany,2015 Fall / Winter,Analog,Yes,3 Bar (Wash hands),Mother of pearl,"Silver, Silver",6260,28 mm,10.5 mm,Stainless steel,Oval,Silver,Stainless steel,Closed with screws,Sapphire,Pull crown,762 ( See specifications ) Download manual (English),Ronda,No,quartz,Renata R364 364 / SR621SW Battery,,120 months,Yes,No,16 mm,Satin Leather,16 mm,14 mm,Silver,Deployment buckle,Silver,,,,No,Pushpins,Yes,145 mm - 195 mm,,https://www.mastersintime.com/pictures/charmex-of-switzerland-tuscany-6260-13275441.jpg,https://www.mastersintime.com/charmex-of-switzerland-tuscany-swiss-oval-ladies-watch-with-crystals-and-mop-dial-6260.htm,
Casio Edifice Classic  EFV-600D-2AVUEF Watch,Stainless steel gents quartz chronograph,This Casio Edifice watch has a case made of stainless steel with a diameter of 44 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526271717,Casio Edifice,Classic,2020 Spring / Summer,,No,10 Bar (Swim),Blue,"White, White, Silver",EFV-600D,44 mm,11.2 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,5579 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R371 371 / SR920SW / SG6 / AG6 Battery,,36 months,Yes,No,22 mm,Stainless steel,22 mm,18 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,165 mm - 225 mm,Strap Casio Edifice 10610062,https://www.mastersintime.com/pictures/casio-edifice-classic-efv-600d-2avuef-11965288.jpg,https://www.mastersintime.com/casio-edifice-classic-stainless-steel-gents-quartz-chronograph-efv-600d-2avuef.htm,$140.-
Casio Edifice Classic  EFR-539DE-2AVUEF Standard Chronograph Watch,Stainless steel quartz chronograph with date,This Casio Edifice watch has a case made of stainless steel with a diameter of 49.5 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526411892,Casio Edifice,Standard Chronograph,2025 Fall / Winter,Analog,No,10 Bar (Swim),Light Blue,"Silver, Silver, Silver",EFR-539DE,49.5 mm,11.7 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Screw crown,5345 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R371 371 / SR920SW / SG6 / AG6 Battery,,24 months,Yes,No,27 mm,Stainless steel,16 mm,22 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,No,160 mm - 220 mm,Strap Casio Edifice 10473264,https://www.mastersintime.com/pictures/casio-edifice-efr-539de-2avuef-standard-chronograph-18457010.jpg,https://www.mastersintime.com/casio-edifice-standard-chronograph-stainless-steel-quartz-chronograph-with-date-efr-539de-2avuef.htm,$164.-
Casio Edifice Classic  EFV-150D-1AVUEF Watch,Gents Quartz Watch with Date,This Casio Edifice watch has a case made of stainless steel with a diameter of 42 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526374012,Casio Edifice,Classic,2024 Spring / Summer,Analog,No,10 Bar (Swim),Black,"Silver, Silver, Silver",EFV-150,42 mm,10.8 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,5340 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R371 371 / SR920SW / SG6 / AG6 Battery,,36 months,Yes,No,20 mm,Stainless steel,20 mm,18 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,Yes,150 mm - 205 mm,Strap Casio Edifice 10669902,https://www.mastersintime.com/pictures/casio-edifice-efv-150d-1avuef-classic-16244357.jpg,https://www.mastersintime.com/casio-edifice-classic-gents-quartz-watch-with-date-efv-150d-1avuef.htm,$118.-
Casio Edifice Classic  EFB-109D-1AVEF Watch,Stainless steel quartz watch with date and sapphire crystal,This Casio Edifice watch has a case made of stainless steel with a diameter of 39 mm and is fitted with a stainless steel band. Inside the case lies a Casio movement and the watch features a Sapphire crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,4549526398919,Casio Edifice,Classic,2025 Spring / Summer,Analog,No,10 Bar (Swim),Black,"Silver, Silver, Orange",EFB-109D,39 mm,9 mm,Stainless steel,Tonneau,Silver,Stainless steel,Screwed case back,Sapphire,Pull crown,5340 ( See specifications ) Download manual (English),Casio,No,quartz,Renata R371 371 / SR920SW / SG6 / AG6 Battery,,36 months,Yes,No,21 mm,Stainless steel,12 mm,18 mm,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Pushpins,No,160 mm - 220 mm,,https://www.mastersintime.com/pictures/casio-edifice-efb-109d-1avef-classic-17660360.jpg,https://www.mastersintime.com/casio-edifice-classic-stainless-steel-quartz-watch-with-date-and-sapphire-crystal-efb-109d-1avef.htm,$152.-
